4,5,6,7,8,9,10,11,12,13,14,15
0,0.4,0.8,1.2000000000000002,1.6,2,2.4,2.8
sort_size, sort_shift, DC_size, sort_shiftride_number
8,0,4,0,557
8,0,4,0.4,885
8,0,4,0.8,1233
8,0,4,1.2000000000000002,1009
8,0,4,1.6,825
8,0,4,2,1186
8,0,4,2.4,952
8,0,4,2.8,807
10,0,5,0,673
10,0,5,0.4,1103
10,0,5,0.8,1228
10,0,5,1.2000000000000002,1642
10,0,5,1.6,1254
10,0,5,2,1113
10,0,5,2.4,1464
10,0,5,2.8,1247
12,0,6,0,902
12,0,6,0.4,1487
12,0,6,0.8,1788
12,0,6,1.2000000000000002,2051
12,0,6,1.6,1787
12,0,6,2,1643
12,0,6,2.4,1570
12,0,6,2.8,1666
14,0,7,0,1029
14,0,7,0.4,1708
14,0,7,0.8,1993
14,0,7,1.2000000000000002,1877
14,0,7,1.6,2474
14,0,7,2,1898
14,0,7,2.4,1818
14,0,7,2.8,1906
16,0,8,0,1136
16,0,8,0.4,1733
16,0,8,0.8,2199
16,0,8,1.2000000000000002,2114
16,0,8,1.6,2490
16,0,8,2,2728
16,0,8,2.4,2093
16,0,8,2.8,1933
18,0,9,0,1136
18,0,9,0.4,1926
18,0,9,0.8,2254
18,0,9,1.2000000000000002,2362
18,0,9,1.6,2412
18,0,9,2,2664
18,0,9,2.4,2415
18,0,9,2.8,2265
20,0,10,0,1413
20,0,10,0.4,1858
20,0,10,0.8,2205
20,0,10,1.2000000000000002,2560
20,0,10,1.6,2358
20,0,10,2,2459
20,0,10,2.4,2910
20,0,10,2.8,2320
22,0,11,0,1420
22,0,11,0.4,2035
22,0,11,0.8,2300
22,0,11,1.2000000000000002,2651
22,0,11,1.6,2439
22,0,11,2,2710
22,0,11,2.4,2930
22,0,11,2.8,3051
24,0,12,0,1315
24,0,12,0.4,1932
24,0,12,0.8,2311
24,0,12,1.2000000000000002,2688
24,0,12,1.6,2699
24,0,12,2,2705
24,0,12,2.4,2734
24,0,12,2.8,3017
26,0,13,0,1537
26,0,13,0.4,2095
26,0,13,0.8,2244
26,0,13,1.2000000000000002,2614
26,0,13,1.6,2923
26,0,13,2,2491
26,0,13,2.4,2633
26,0,13,2.8,2778
28,0,14,0,1626
28,0,14,0.4,2031
28,0,14,0.8,2215
28,0,14,1.2000000000000002,2623
28,0,14,1.6,2988
28,0,14,2,2555
28,0,14,2.4,2746
28,0,14,2.8,2859
30,0,15,0,1662
30,0,15,0.4,2076
30,0,15,0.8,2402
30,0,15,1.2000000000000002,2578
30,0,15,1.6,2906
30,0,15,2,2780
30,0,15,2.4,2885
30,0,15,2.8,2788
