4,4.25,4.5,4.75,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,8,8.25,8.5,8.75,9,9.25,9.5,9.75,10,10.25,10.5,10.75,11,11.25,11.5,11.75,12,12.25,12.5,12.75,13,13.25,13.5,13.75,14,14.25,14.5,14.75,15
0,0.15,0.3,0.44999999999999996,0.6,0.75,0.9,1.05,1.2,1.3499999999999999,1.4999999999999998,1.6499999999999997,1.7999999999999996,1.9499999999999995,2.0999999999999996,2.2499999999999996,2.3999999999999995,2.5499999999999994,2.6999999999999993,2.849999999999999,2.999999999999999
sort_size, sort_shift, DC_size, sort_shiftride_number
8,0,4,0,562
8,0,4,0.15,780
8,0,4,0.3,961
8,0,4,0.44999999999999996,965
8,0,4,0.6,979
8,0,4,0.75,834
8,0,4,0.9,1424
8,0,4,1.05,928
8,0,4,1.2,983
8,0,4,1.3499999999999999,802
8,0,4,1.4999999999999998,1112
8,0,4,1.6499999999999997,857
8,0,4,1.7999999999999996,917
8,0,4,1.9499999999999995,738
8,0,4,2.0999999999999996,1037
8,0,4,2.2499999999999996,957
8,0,4,2.3999999999999995,908
8,0,4,2.5499999999999994,1151
8,0,4,2.6999999999999993,570
8,0,4,2.849999999999999,749
8,0,4,2.999999999999999,926
8.5,0,4.25,0,612
8.5,0,4.25,0.15,811
8.5,0,4.25,0.3,929
8.5,0,4.25,0.44999999999999996,985
8.5,0,4.25,0.6,1074
8.5,0,4.25,0.75,1037
8.5,0,4.25,0.9,1388
8.5,0,4.25,1.05,1062
8.5,0,4.25,1.2,1068
8.5,0,4.25,1.3499999999999999,1081
8.5,0,4.25,1.4999999999999998,1017
8.5,0,4.25,1.6499999999999997,880
8.5,0,4.25,1.7999999999999996,1005
8.5,0,4.25,1.9499999999999995,1040
8.5,0,4.25,2.0999999999999996,1305
8.5,0,4.25,2.2499999999999996,1034
8.5,0,4.25,2.3999999999999995,1011
8.5,0,4.25,2.5499999999999994,1002
8.5,0,4.25,2.6999999999999993,1196
8.5,0,4.25,2.849999999999999,1196
8.5,0,4.25,2.999999999999999,821
9,0,4.5,0,654
9,0,4.5,0.15,872
9,0,4.5,0.3,1010
9,0,4.5,0.44999999999999996,968
9,0,4.5,0.6,1284
9,0,4.5,0.75,1095
9,0,4.5,0.9,1460
9,0,4.5,1.05,1642
9,0,4.5,1.2,1168
9,0,4.5,1.3499999999999999,1159
9,0,4.5,1.4999999999999998,1104
9,0,4.5,1.6499999999999997,1248
9,0,4.5,1.7999999999999996,982
9,0,4.5,1.9499999999999995,1289
9,0,4.5,2.0999999999999996,1084
9,0,4.5,2.2499999999999996,1376
9,0,4.5,2.3999999999999995,1111
9,0,4.5,2.5499999999999994,1088
9,0,4.5,2.6999999999999993,1103
9,0,4.5,2.849999999999999,1562
9,0,4.5,2.999999999999999,1246
9.5,0,4.75,0,750
9.5,0,4.75,0.15,862
9.5,0,4.75,0.3,1011
9.5,0,4.75,0.44999999999999996,1178
9.5,0,4.75,0.6,1281
9.5,0,4.75,0.75,1200
9.5,0,4.75,0.9,1139
9.5,0,4.75,1.05,1482
9.5,0,4.75,1.2,1138
9.5,0,4.75,1.3499999999999999,1245
9.5,0,4.75,1.4999999999999998,1168
9.5,0,4.75,1.6499999999999997,1265
9.5,0,4.75,1.7999999999999996,1329
9.5,0,4.75,1.9499999999999995,1097
9.5,0,4.75,2.0999999999999996,1139
9.5,0,4.75,2.2499999999999996,1117
9.5,0,4.75,2.3999999999999995,1300
9.5,0,4.75,2.5499999999999994,1146
9.5,0,4.75,2.6999999999999993,1114
9.5,0,4.75,2.849999999999999,1124
9.5,0,4.75,2.999999999999999,1519
10,0,5,0,692
10,0,5,0.15,854
10,0,5,0.3,1102
10,0,5,0.44999999999999996,1186
10,0,5,0.6,1321
10,0,5,0.75,1214
10,0,5,0.9,1132
10,0,5,1.05,1528
10,0,5,1.2,1658
10,0,5,1.3499999999999999,1250
10,0,5,1.4999999999999998,1193
10,0,5,1.6499999999999997,1163
10,0,5,1.7999999999999996,1237
10,0,5,1.9499999999999995,1007
10,0,5,2.0999999999999996,1165
10,0,5,2.2499999999999996,1212
10,0,5,2.3999999999999995,1469
10,0,5,2.5499999999999994,1348
10,0,5,2.6999999999999993,1219
10,0,5,2.849999999999999,1140
10,0,5,2.999999999999999,1099
10.5,0,5.25,0,831
10.5,0,5.25,0.15,903
10.5,0,5.25,0.3,1100
10.5,0,5.25,0.44999999999999996,1168
10.5,0,5.25,0.6,1249
10.5,0,5.25,0.75,1257
10.5,0,5.25,0.9,1269
10.5,0,5.25,1.05,1596
10.5,0,5.25,1.2,1585
10.5,0,5.25,1.3499999999999999,1248
10.5,0,5.25,1.4999999999999998,1288
10.5,0,5.25,1.6499999999999997,1260
10.5,0,5.25,1.7999999999999996,1361
10.5,0,5.25,1.9499999999999995,1320
10.5,0,5.25,2.0999999999999996,1150
10.5,0,5.25,2.2499999999999996,1150
10.5,0,5.25,2.3999999999999995,1248
10.5,0,5.25,2.5499999999999994,1455
10.5,0,5.25,2.6999999999999993,1386
10.5,0,5.25,2.849999999999999,1265
10.5,0,5.25,2.999999999999999,1162
11,0,5.5,0,964
11,0,5.5,0.15,954
11,0,5.5,0.3,1416
11,0,5.5,0.44999999999999996,1494
11,0,5.5,0.6,1554
11,0,5.5,0.75,1567
11,0,5.5,0.9,1556
11,0,5.5,1.05,1909
11,0,5.5,1.2,2068
11,0,5.5,1.3499999999999999,2129
11,0,5.5,1.4999999999999998,1619
11,0,5.5,1.6499999999999997,1525
11,0,5.5,1.7999999999999996,1371
11,0,5.5,1.9499999999999995,1541
11,0,5.5,2.0999999999999996,1674
11,0,5.5,2.2499999999999996,1556
11,0,5.5,2.3999999999999995,1519
11,0,5.5,2.5499999999999994,1455
11,0,5.5,2.6999999999999993,1756
11,0,5.5,2.849999999999999,1808
11,0,5.5,2.999999999999999,1454
11.5,0,5.75,0,959
11.5,0,5.75,0.15,1078
11.5,0,5.75,0.3,1537
11.5,0,5.75,0.44999999999999996,1575
11.5,0,5.75,0.6,1772
11.5,0,5.75,0.75,1756
11.5,0,5.75,0.9,1594
11.5,0,5.75,1.05,2194
11.5,0,5.75,1.2,2025
11.5,0,5.75,1.3499999999999999,2189
11.5,0,5.75,1.4999999999999998,1671
11.5,0,5.75,1.6499999999999997,1594
11.5,0,5.75,1.7999999999999996,1737
11.5,0,5.75,1.9499999999999995,1565
11.5,0,5.75,2.0999999999999996,1537
11.5,0,5.75,2.2499999999999996,1788
11.5,0,5.75,2.3999999999999995,1652
11.5,0,5.75,2.5499999999999994,1657
11.5,0,5.75,2.6999999999999993,1596
11.5,0,5.75,2.849999999999999,1898
11.5,0,5.75,2.999999999999999,1864
12,0,6,0,903
12,0,6,0.15,977
12,0,6,0.3,1561
